_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
79.53286354996482	-36.02399685256122	Tag 53	CDS/P/2MASS/color	05:18:07.88725	-36:01:26.3887	 	 
80.06718439018381	-36.03217530223063	Tag 54	CDS/P/2MASS/color	05:20:16.12425	-36:01:55.8311	 	 
80.21442951185075	-36.16812472275846	Tag 55	CDS/P/2MASS/color	05:20:51.46308	-36:10:05.2490	 	 
80.42745882838726	-36.2168833075382	Tag 56	CDS/P/2MASS/color	05:21:42.59012	-36:13:00.7799	 	 
80.61825179514834	-36.28548240172383	Tag 57	CDS/P/2MASS/color	05:22:28.38043	-36:17:07.7366	 	 
80.56398027844614	-35.99156508062789	Tag 58	CDS/P/2MASS/color	05:22:15.35527	-35:59:29.6343	 	 
80.60345791815786	-36.132069462302056	Tag 59	CDS/P/2MASS/color	05:22:24.82990	-36:07:55.4501	 	 
80.36659293995103	-35.79773779924129	Tag 60	CDS/P/2MASS/color	05:21:27.98231	-35:47:51.8561	 	 
80.13457220358059	-35.807368211588	Tag 61	CDS/P/2MASS/color	05:20:32.29733	-35:48:26.5256	 	 
80.07140347736969	-35.72063177045987	Tag 62	CDS/P/2MASS/color	05:20:17.13683	-35:43:14.2744	 	 
79.94077955876205	-35.850376244645005	Tag 63	CDS/P/2MASS/color	05:19:45.78709	-35:51:01.3545	 	 
79.63892126016272	-35.80235037000369	Tag 64	CDS/P/2MASS/color	05:18:33.34110	-35:48:08.4613	 	 
79.21754353991139	-35.89973399747982	Tag 65	CDS/P/2MASS/color	05:16:52.21045	-35:53:59.0424	 	 
78.95092325222363	-35.82545082462405	Tag 66	CDS/P/2MASS/color	05:15:48.22158	-35:49:31.6230	 	 
78.73938718672444	-35.76366733091515	Tag 67	CDS/P/2MASS/color	05:14:57.45292	-35:45:49.2024	 	 
79.04542298730036	-35.66227068182878	Tag 68	CDS/P/2MASS/color	05:16:10.90152	-35:39:44.1745	 	 
79.2506398955939	-35.663724896040975	Tag 69	CDS/P/2MASS/color	05:17:00.15357	-35:39:49.4096	 	 
79.80816244605583	-35.6700660590644	Tag 70	CDS/P/2MASS/color	05:19:13.95899	-35:40:12.2378	 	 
79.55874307527895	-35.616614105923794	Tag 71	CDS/P/2MASS/color	05:18:14.09834	-35:36:59.8108	 	 
79.42124762938009	-35.721635841228874	Tag 72	CDS/P/2MASS/color	05:17:41.09943	-35:43:17.8890	 	 
79.24320126685339	-36.02866996706388	Tag 73	CDS/P/2MASS/color	05:16:58.36830	-36:01:43.2119	 	 
79.40276540237701	-36.266383394371545	Tag 74	CDS/P/2MASS/color	05:17:36.66370	-36:15:58.9802	 	 
79.76064280670711	-36.359440070265144	Tag 75	CDS/P/2MASS/color	05:19:02.55427	-36:21:33.9843	 	 
80.28124265568236	-36.354496887463625	Tag 76	CDS/P/2MASS/color	05:21:07.49824	-36:21:16.1888	 	 
80.38179472202675	-36.05819444208555	Tag 77	CDS/P/2MASS/color	05:21:31.63073	-36:03:29.5000	 	 
