UCAC4 RA DEC MAG_R Vmag pmRA pmDE
332-066442 196.3083795 -23.7660139 12.831 12.954 -3.7 -6.4
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
335-069494 197.7671715 -23.1925823 11.897 12.169 -3.7 -6.6
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
337-066308 196.3394162 -22.6675028 12.172 12.519 -0.7 -2.8
339-064400 197.3441171 -22.3944892 12.62 12.778 3.5 -9.9
329-066378 197.4721756 -24.2356098 12.186 12.323 -15.0 10.7
332-066600 197.3389895 -23.70516 11.281 11.743 -3.8 -9.9
338-067942 196.837905 -22.48384 11.202 11.342 9.2 -11.2
337-066498 197.5054233 -22.6042717 12.476 12.582 10.4 1.8
329-066374 197.4506709 -24.2220231 11.256 11.364 -12.1 1.0
337-066417 197.0587633 -22.6746039 12.6 12.95 -10.4 -1.2
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
336-067886 197.4018242 -22.8340478 12.655 12.869 6.8 0.7
331-069128 197.7973539 -23.8425587 12.253 12.65 -9.6 -14.8
336-067752 196.6904806 -22.9478773 11.675 11.983 -8.8 3.2
335-069509 197.8315136 -23.0825967 12.411 12.55 -7.5 2.3
333-069840 198.0082724 -23.4136809 11.175 11.535 -8.8 -9.9
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
337-066454 197.2110612 -22.6299603 12.663 12.982 -1.1 0.6
337-066367 196.721438 -22.6132039 11.645 11.952 -11.1 -0.4
335-069216 196.1249483 -23.0783628 12.613 12.768 -1.6 -2.1
336-067713 196.4567512 -22.8862087 12.228 12.559 -6.6 1.7
332-066659 197.7035171 -23.6020764 11.967 12.574 -7.7 -3.1
334-067101 196.4265874 -23.3161953 12.344 12.493 1.5 -3.1
335-069203 196.042565 -23.1016823 10.814 11.224 -8.1 1.7
335-069455 197.5390921 -23.1338837 12.508 12.855 -2.2 -3.6
331-068980 197.0500274 -23.8405345 12.536 12.863 -9.1 -11.0
337-066513 197.6085277 -22.7214359 12.118 12.486 -7.9 -6.2
333-069746 197.4740486 -23.448587 12.256 12.782	-1.6 -2.7
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
