UCAC4 RA DEC MAG_R Vmag pmRA pmDE
326-067331 197.1036474 -24.8576881 12.066 12.536 -7.8 -0.6
329-066396 197.5941777 -24.3690123 12.586 12.717 -13.1 3.0
335-069474 197.6494359 -23.1708459 12.544 12.833 -4.6 4.0
327-065976 197.3259506 -24.6659584 10.988 11.269 -12.0 5.2
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
329-066526 198.363205 -24.3779034 11.521 11.903 -0.5 -5.5
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
326-067372 197.4212498 -24.8442559 12.046 12.227 4.5 -7.1
332-066769 198.3728033 -23.7743828 11.677 12.037 -5.4 0.7
327-066109 198.0435965 -24.7683628 12.725 12.888 -0.6 9.3
335-069423 197.3166209 -23.1285139 11.31 11.448 -7.5 -2.8
327-066029 197.5885662 -24.6382434 11.991 12.071 -5.0 -3.3
331-069154 197.9640142 -23.8418345 12.609 12.816 6.8 11.0
331-069190 198.1760933 -23.8093675 12.475 12.667 7.7 -9.9
332-066659 197.7035171 -23.6020764 11.967 12.574 -7.7 -3.1
326-067471 198.0707286 -24.8322081 11.583 11.883 -6.1 -10.7
329-066374 197.4506709 -24.2220231 11.256 11.364 -12.1 1.0
327-066028 197.5882189 -24.7153295 12.129 12.337 -2.2 -13.3
329-066480 198.1131618 -24.2677695 10.945 11.157 -11.5 -3.9
331-069128 197.7973539 -23.8425587 12.253 12.65 -9.6 -14.8
332-066600 197.3389895 -23.70516 11.281 11.743 -3.8 -9.9
334-067269 197.4232562 -23.3874939 12.2 12.556 0.2 -4.3
329-066530 198.4093112 -24.226667 12.299 12.426 -10.1 -0.9
331-068980 197.0500274 -23.8405345 12.536 12.863 -9.1 -11.0
334-067391 198.2411059 -23.3624681 12.719 12.981 -11.8 -0.5
333-069669 197.0593324 -23.5813139 11.283 11.81 -3.7 5.6
330-068297 196.5501956 -24.0689923 11.476 11.886 -10.7 -6.0
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
328-069186 196.5772018 -24.4594581 12.169 12.503 1.1 0.1
326-067296 196.8575768 -24.812125 12.122 12.225 8.1 4.5
327-065976 197.3259506 -24.6659584 10.988 11.269 -12.0 5.2
331-069077 197.54841 -23.904192 11.6 12.023 -1.4 3.5
327-065931 197.0091248 -24.6316325 12.642 12.814 -7.0 12.2
