UCAC4 RA DEC MAG_R Vmag pmRA pmDE
339-064177 195.9440342 -22.283007 12.569 12.843 7.8 2.7
337-066304 196.313703 -22.7677203 11.64 11.974 0.6 1.0
334-067292 197.5332456 -23.2226375 12.553 12.715 -7.8 -8.4
335-069177 195.9090515 -23.157732 11.792 12.035 -7.1 -11.9
336-067647 196.0530492 -22.8477959 12.57 12.919 -5.2 -2.9
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
335-069419 197.302703 -23.0323267 11.986 12.289 1.0 -12.7
340-066698 196.5802321 -22.0175437 12.723 12.84 0.8 -5.5
336-067617 195.77034 -22.8642028 11.124 11.564 -10.7 -4.0
334-067308 197.6659359 -23.3604887 11.417 11.598 9.4 -6.5
336-067657 196.1143342 -22.8971048 12.027 12.418 5.7 -1.7
338-067942 196.837905 -22.48384 11.202 11.342 9.2 -11.2
339-064400 197.3441171 -22.3944892 12.62 12.778 3.5 -9.9
332-066458 196.4288745 -23.6999189 12.532 12.726 14.1 -2.1
334-067002 195.7112427 -23.2544381 12.117 12.279 -6.2 0.5
337-066257 195.9223012 -22.738347 12.549 12.79 -0.4 -6.1
338-067768 195.7740124 -22.4678506 11.976 12.108 -8.2 -8.9
339-064259 196.4657636 -22.3986553 12.755 12.969 2.1 -9.7
337-066277 196.1100045 -22.7271995 12.412 12.741 -6.1 10.5
336-067695 196.3439109 -22.8776848 12.139 12.244 -0.4 2.5
336-067621 195.784838 -22.8142539 12.214 12.666 -3.7 -0.7
336-067830 197.1384233 -22.8145923 12.12 12.237 -1.6 1.9
340-066703 196.6104112 -22.1226037 12.077 12.167 -11.5 -2.7
334-067061 196.1504565 -23.3908295 11.747 12.137 -5.8 3.3
335-069178 195.9206695 -23.0052248 12.557 12.784 2.1 -11.6
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
338-067890 196.5509674 -22.4878542 12.484 12.746 -11.5 -9.7
332-066600 197.3389895 -23.70516 11.281	11.743 -3.8 -9.9
332-066518 196.8319389 -23.7294037 12.518 12.819 8.5 -6.5
334-067075 196.2289559 -23.3882348 12.64 12.763	-11.0 -3.2
332-066458 196.4288745 -23.6999189 12.532 12.726 14.1 -2.1
334-066999 195.6807121 -23.2972764 12.494 12.649 7.0 -2.4
334-067101 196.4265874 -23.3161953 12.344 12.493 1.5 -3.1
331-068980 197.0500274 -23.8405345 12.536 12.863 -9.1 -11.0
