0 1 2 3 4 5 6 7 8 9 10 11 12 13
TG75 13 9 1.58 -24 24 18.7 P 8 19.01 0 0.0 0.0 Program
TG76 13 9 10.73 -24 31 8.4 P 8 19.29 0 0.0 0.0 Program
TG77 13 6 53.12 -23 56 56.2 P 8 19.95 0 0.0 0.0 Program
TG78 13 4 55.13 -24 38 31.0 P 8 18.5 0 0.0 0.0 Program
TG79 13 9 42.79 -24 45 19.6 P 8 17.61 0 0.0 0.0 Program
TG80 13 5 21.5 -24 46 46.9 P 8 19.54 0 0.0 0.0 Program
TG81 13 8 17.27 -23 14 22.7 P 8 19.53 0 0.0 0.0 Program
TG82 13 4 48.37 -24 38 37.8 P 8 19.93 0 0.0 0.0 Program
TG83 13 8 17.94 -23 2 20.4 P 8 19.67 0 0.0 0.0 Program
TG84 13 3 43.39 -24 0 41.8 P 8 19.42 0 0.0 0.0 Program
TG85 13 4 31.56 -24 12 37.1 P 8 19.67 0 0.0 0.0 Program
TG86 13 3 16.09 -24 3 48.6 P 8 19.54 0 0.0 0.0 Program
TG87 13 7 20.32 -24 58 33.5 P 8 19.79 0 0.0 0.0 Program
TG88 13 9 15.05 -24 55 13.9 P 8 19.28 0 0.0 0.0 Program
TG89 13 9 1.68 -24 32 4.0 P 8 19.72 0 0.0 0.0 Program
TG90 13 5 57.85 -23 22 2.5 P 8 19.59 0 0.0 0.0 Program
TG91 13 8 18.59 -23 4 55.2 P 8 19.07 0 0.0 0.0 Program
TG92 13 8 11.58 -24 15 37.8 P 8 19.38 0 0.0 0.0 Program
TG93 13 7 37.81 -24 27 21.8 P 8 19.73 0 0.0 0.0 Program
TG94 13 5 52.97 -23 28 20.9 P 8 18.75 0 0.0 0.0 Program
TG95 13 7 10.19 -24 26 47.2 P 8 18.63 0 0.0 0.0 Program
TG96 13 9 26.53 -23 34 9.2 P 8 18.92 0 0.0 0.0 Program
TG97 13 6 58.48 -24 45 1.4 P 8 19.2 0 0.0 0.0 Program
TG98 13 5 6.92 -24 9 56.0 P 8 19.26 0 0.0 0.0 Program
TG99 13 9 24.82 -24 28 6.5 P 8 19.6 0 0.0 0.0 Program
TG100 13 7 41.13 -23 3 20.0 P 8 19.98 0 0.0 0.0 Program
TG101 13 9 38.88 -24 51 21.0 P 8 18.82 0 0.0 0.0 Program
TG102 13 9 20.97 -24 38 27.5 P 8 19.08 0 0.0 0.0 Program
TG103 13 8 34.73 -23 13 57.9 P 8 18.32 0 0.0 0.0 Program
TG104 13 6 56.04 -23 3 37.0 P 8 19.96 0 0.0 0.0 Program
TG105 13 9 29.15 -24 41 9.3 P 8 19.87 0 0.0 0.0 Program
TG106 13 7 50.96 -24 50 37.5 P 8 18.83 0 0.0 0.0 Program
TG107 13 6 28.27 -23 11 55.3 P 8 19.52 0 0.0 0.0 Program
TG108 13 3 19.38 -24 13 22.3 P 8 17.93 0 0.0 0.0 Program
TG109 13 11 1.54 -24 16 22.1 P 8 18.17 0 0.0 0.0 Program
TG110 13 8 53.63 -24 48 4.9 P 8 18.74 0 0.0 0.0 Program
TG111 13 6 38.57 -24 21 31.9 P 8 19.75 0 0.0 0.0 Program
TG112 13 8 37.5 -23 27 22.2 P 8 18.11 0 0.0 0.0 Program
TG113 13 11 4.73 -23 51 33.0 P 8 19.95 0 0.0 0.0 Program
TG114 13 3 38.97 -24 22 55.9 P 8 19.31 0 0.0 0.0 Program
TG115 13 6 50.7 -23 32 15.1 P 8 19.01 0 0.0 0.0 Program
TG116 13 6 37.18 -23 17 53.6 P 8 19.9 0 0.0 0.0 Program
TG117 13 9 9.32 -23 50 27.7 P 8 19.74 0 0.0 0.0 Program
TG118 13 3 58.32 -23 30 34.8 P 8 19.51 0 0.0 0.0 Program
TG119 13 8 46.25 -23 16 31.9 P 8 19.84 0 0.0 0.0 Program
TG120 13 7 58.4 -23 52 3.3 P 8 18.98 0 0.0 0.0 Program
TG121 13 5 12.59 -23 48 41.5 P 8 18.47 0 0.0 0.0 Program
TG122 13 5 28.43 -24 50 35.0 P 8 19.73 0 0.0 0.0 Program
TG123 13 5 31.55 -23 8 50.6 P 8 19.86 0 0.0 0.0 Program
TG124 13 9 17.13 -24 16 36.2 P 8 19.32 0 0.0 0.0 Program
TG125 13 6 59.66 -24 17 59.1 P 8 19.66 0 0.0 0.0 Program
TG126 13 4 21.54 -23 31 53.7 P 8 19.31 0 0.0 0.0 Program
TG127 13 11 53.19 -23 58 11.8 P 8 19.28 0 0.0 0.0 Program
TG128 13 9 44.59 -24 12 17.1 P 8 19.47 0 0.0 0.0 Program
TG129 13 7 16.36 -23 22 35.1 P 8 19.43 0 0.0 0.0 Program
TG130 13 3 28.21 -24 12 37.0 P 8 19.7 0 0.0 0.0 Program
TG131 13 3 41.07 -24 22 35.8 P 8 19.55 0 0.0 0.0 Program
TG132 13 4 45.93 -23 46 18.6 P 8 19.61 0 0.0 0.0 Program
TG133 13 5 27.62 -23 36 52.5 P 8 19.74 0 0.0 0.0 Program
TG134 13 9 29.38 -23 39 7.7 P 8 19.75 0 0.0 0.0 Program
TG135 13 5 31.2 -23 58 6.9 P 8 19.34 0 0.0 0.0 Program
TG136 13 10 52.93 -23 53 40.1 P 8 19.96 0 0.0 0.0 Program
TG137 13 8 13.74 -23 26 16.7 P 8 19.47 0 0.0 0.0 Program
TG138 13 6 55.35 -23 42 21.3 P 8 19.69 0 0.0 0.0 Program
TG139 13 3 59.16 -24 3 32.5 P 8 19.83 0 0.0 0.0 Program
TG140 13 9 42.49 -24 11 39.8 P 8 18.96 0 0.0 0.0 Program
TG141 13 4 20.92 -23 32 27.3 P 8 19.06 0 0.0 0.0 Program
TG142 13 6 9.31 -24 29 3.3 P 8 19.92 0 0.0 0.0 Program
TG143 13 10 24.84 -24 41 39.5 P 8 19.41 0 0.0 0.0 Program
TG144 13 6 56.4 -24 15 56.0 P 8 19.17 0 0.0 0.0 Program
TG145 13 8 2.99 -23 25 37.9 P 8 18.95 0 0.0 0.0 Program
TG146 13 3 50.28 -24 15 1.5 P 8 19.75 0 0.0 0.0 Program
TG147 13 4 44.63 -24 44 56.4 P 8 19.01 0 0.0 0.0 Program
TG148 13 3 18.39 -23 47 16.6 P 8 19.43 0 0.0 0.0 Program
TG149 13 9 7.38 -23 47 20.4 P 8 18.58 0 0.0 0.0 Program
TG150 13 7 29.94 -24 8 17.7 P 8 19.19 0 0.0 0.0 Program
TG151 13 4 9.91 -23 40 46.0 P 8 18.44 0 0.0 0.0 Program
TG152 13 9 17.69 -24 43 17.4 P 8 18.86 0 0.0 0.0 Program
TG153 13 5 6.06 -23 38 38.9 P 8 18.69 0 0.0 0.0 Program
TG154 13 9 10.19 -23 16 15.6 P 8 19.99 0 0.0 0.0 Program
TG155 13 9 18.11 -23 8 12.2 P 8 17.83 0 0.0 0.0 Program
TG156 13 4 6.07 -24 17 33.9 P 8 18.87 0 0.0 0.0 Program
TG157 13 8 41.29 -23 25 28.2 P 8 19.91 0 0.0 0.0 Program
TG158 13 9 35.77 -23 11 51.7 P 8 19.9 0 0.0 0.0 Program
TG159 13 11 15.99 -24 15 41.4 P 8 19.74 0 0.0 0.0 Program
TG160 13 5 37.16 -23 9 0.0 P 8 19.67 0 0.0 0.0 Program
TG161 13 5 30.63 -24 30 43.3 P 8 19.68 0 0.0 0.0 Program
TG162 13 5 34.65 -23 23 52.0 P 8 19.74 0 0.0 0.0 Program
TG163 13 3 12.7 -24 2 24.2 P 8 19.69 0 0.0 0.0 Program
TG164 13 4 48.65 -24 35 49.0 P 8 19.44 0 0.0 0.0 Program
TG165 13 3 53.07 -24 18 35.3 P 8 18.57 0 0.0 0.0 Program
TG166 13 6 32.9 -23 58 3.3 P 8 19.3 0 0.0 0.0 Program
TG167 13 5 41.66 -23 55 42.5 P 8 18.81 0 0.0 0.0 Program
TG168 13 4 48.83 -23 40 45.2 P 8 19.86 0 0.0 0.0 Program
TG169 13 10 10.77 -24 31 47.8 P 8 18.78 0 0.0 0.0 Program
TG170 13 8 5.55 -24 8 10.7 P 8 19.96 0 0.0 0.0 Program
TG171 13 6 0.68 -23 18 0.5 P 8 19.32 0 0.0 0.0 Program
TG172 13 9 28.97 -24 25 57.4 P 8 19.78 0 0.0 0.0 Program
TG173 13 6 41.17 -24 34 49.4 P 8 19.21 0 0.0 0.0 Program
TG174 13 7 20.55 -23 24 15.0 P 8 19.66 0 0.0 0.0 Program
TG175 13 9 58.83 -24 41 53.9 P 8 19.61 0 0.0 0.0 Program
TG176 13 9 28.13 -23 16 45.2 P 8 18.27 0 0.0 0.0 Program
TG177 13 5 33.32 -23 59 55.1 P 8 19.74 0 0.0 0.0 Program
TG178 13 4 40.99 -23 37 2.3 P 8 19.93 0 0.0 0.0 Program
TG179 13 7 41.39 -23 18 30.2 P 8 19.42 0 0.0 0.0 Program
TG180 13 6 13.87 -24 47 34.2 P 8 19.93 0 0.0 0.0 Program
TG181 13 8 34.87 -24 45 49.6 P 8 19.98 0 0.0 0.0 Program
TG182 13 4 23.42 -23 34 15.7 P 8 19.52 0 0.0 0.0 Program
TG183 13 10 20.03 -24 41 4.9 P 8 19.52 0 0.0 0.0 Program
TG184 13 3 35.74 -24 13 45.1 P 8 19.52 0 0.0 0.0 Program
TG185 13 7 48.08 -23 3 18.2 P 8 19.57 0 0.0 0.0 Program
TG186 13 7 36.95 -23 25 22.3 P 8 19.2 0 0.0 0.0 Program
TG187 13 9 57.4 -24 34 47.3 P 8 19.81 0 0.0 0.0 Program
TG188 13 3 22.54 -24 17 44.5 P 8 19.83 0 0.0 0.0 Program
TG189 13 4 27.79 -24 2 23.2 P 8 18.84 0 0.0 0.0 Program
TG190 13 6 34.0 -24 19 45.7 P 8 19.56 0 0.0 0.0 Program
TG191 13 4 10.51 -23 49 26.7 P 8 17.81 0 0.0 0.0 Program
TG192 13 9 22.56 -24 36 16.3 P 8 19.82 0 0.0 0.0 Program
TG193 13 4 29.89 -23 45 34.1 P 8 18.77 0 0.0 0.0 Program
TG194 13 4 48.5 -23 31 12.6 P 8 18.88 0 0.0 0.0 Program
TG195 13 9 21.18 -23 33 39.4 P 8 18.85 0 0.0 0.0 Program
TG196 13 8 37.25 -24 3 36.1 P 8 19.77 0 0.0 0.0 Program
TG197 13 7 28.64 -24 46 46.7 P 8 19.18 0 0.0 0.0 Program
TG198 13 7 6.96 -23 50 19.2 P 8 19.59 0 0.0 0.0 Program
TG199 13 9 24.81 -23 34 28.1 P 8 19.87 0 0.0 0.0 Program
TG200 13 4 59.27 -23 39 36.6 P 8 18.09 0 0.0 0.0 Program
TG201 13 8 33.54 -23 23 0.4 P 8 19.53 0 0.0 0.0 Program
TG202 13 9 25.79 -24 37 29.2 P 8 19.03 0 0.0 0.0 Program
TG203 13 4 24.58 -23 58 37.8 P 8 19.97 0 0.0 0.0 Program
TG204 13 8 1.21 -23 22 48.3 P 8 19.56 0 0.0 0.0 Program
TG205 13 6 19.46 -24 38 33.5 P 8 19.85 0 0.0 0.0 Program
TG206 13 4 35.79 -23 18 55.0 P 8 18.46 0 0.0 0.0 Program
TG207 13 4 16.16 -23 25 16.3 P 8 19.92 0 0.0 0.0 Program
TG208 13 8 11.76 -23 31 32.5 P 8 19.75 0 0.0 0.0 Program
TG209 13 6 22.75 -23 6 0.5 P 8 18.39 0 0.0 0.0 Program
TG210 13 5 14.78 -23 34 35.4 P 8 19.8 0 0.0 0.0 Program
TG211 13 4 19.59 -24 2 31.0 P 8 19.95 0 0.0 0.0 Program
TG212 13 6 4.34 -23 13 17.1 P 8 19.28 0 0.0 0.0 Program
TG213 13 9 18.68 -24 13 3.1 P 8 19.8 0 0.0 0.0 Program
TG214 13 7 27.67 -23 1 7.5 P 8 19.84 0 0.0 0.0 Program
TG215 13 4 10.17 -24 2 52.6 P 8 19.87 0 0.0 0.0 Program
TG216 13 3 52.91 -24 17 29.5 P 8 19.98 0 0.0 0.0 Program
TG217 13 7 46.12 -23 52 30.5 P 8 19.72 0 0.0 0.0 Program
TG218 13 4 12.4 -24 21 14.2 P 8 19.28 0 0.0 0.0 Program
TG219 13 8 29.35 -23 34 24.3 P 8 19.71 0 0.0 0.0 Program
TG220 13 5 12.99 -23 26 19.2 P 8 20.0 0 0.0 0.0 Program
TG221 13 6 39.18 -23 25 3.2 P 8 19.42 0 0.0 0.0 Program
TG222 13 5 4.59 -23 23 50.4 P 8 18.39 0 0.0 0.0 Program
TG223 13 4 0.48 -23 34 23.3 P 8 19.81 0 0.0 0.0 Program
TG224 13 3 35.16 -24 12 40.9 P 8 19.59 0 0.0 0.0 Program
TG225 13 6 35.15 -24 43 16.4 P 8 17.66 0 0.0 0.0 Program
TG226 13 3 20.47 -23 49 2.6 P 8 19.93 0 0.0 0.0 Program
TG227 13 10 49.61 -24 8 14.6 P 8 19.23 0 0.0 0.0 Program
TG228 13 8 35.56 -23 29 49.5 P 8 19.85 0 0.0 0.0 Program
TG229 13 4 31.6 -24 32 30.6 P 8 19.23 0 0.0 0.0 Program
TG230 13 6 10.29 -23 7 49.7 P 8 19.37 0 0.0 0.0 Program
TG231 13 3 29.27 -24 17 32.8 P 8 19.4 0 0.0 0.0 Program
TG232 13 3 53.22 -24 23 21.9 P 8 18.58 0 0.0 0.0 Program
TG233 13 3 37.39 -24 2 2.3 P 8 19.44 0 0.0 0.0 Program
