UCAC4 RA DEC MAG_R Vmag pmRA pmDE
331-068918 196.569378 -23.8906845 12.786 12.957 0.8 -14.0
337-066304 196.313703 -22.7677203 11.64 11.974 0.6 1.0
331-069077 197.54841 -23.904192 11.6 12.023 -1.4 3.5
336-067695 196.3439109 -22.8776848 12.139 12.244 -0.4 2.5
335-069419 197.302703 -23.0323267 11.986 12.289 1.0 -12.7
338-068013 197.2759145 -22.5681073 11.78 11.928 -9.3 -3.1
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
336-067657 196.1143342 -22.8971048 12.027 12.418 5.7 -1.7
335-069204 196.0487353 -23.0371145 12.643 12.784 -12.1 3.2
336-067713 196.4567512 -22.8862087 12.228 12.559 -6.6 1.7
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
339-064400 197.3441171 -22.3944892 12.62 12.778 3.5 -9.9
337-066498 197.5054233 -22.6042717 12.476 12.582 10.4 1.8
335-069509 197.8315136 -23.0825967 12.411 12.55 -7.5 2.3
337-066513 197.6085277 -22.7214359 12.118 12.486 -7.9 -6.2
334-067308 197.6659359 -23.3604887 11.417 11.598 9.4 -6.5
337-066532 197.7516024 -22.7544959 12.487 12.611 -10.8 -0.2
333-069669 197.0593324 -23.5813139 11.283 11.81 -3.7 5.6
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
334-067269 197.4232562 -23.3874939 12.2 12.556 0.2 -4.3
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
329-066378 197.4721756 -24.2356098 12.186 12.323 -15.0 10.7
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
330-068297 196.5501956 -24.0689923 11.476 11.886 -10.7 -6.0
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
337-066378 196.7784103 -22.7969406 12.826 12.99 -1.2 -5.0
335-069203 196.042565 -23.1016823 10.814 11.224 -8.1 1.7
336-067752 196.6904806 -22.9478773 11.675 11.983 -8.8 3.2
335-069474 197.6494359 -23.1708459 12.544 12.833 -4.6 4.0
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
