UCAC4 RA DEC MAG_R Vmag pmRA pmDE
327-066152 198.3512795 -24.7754523 11.857 12.236 -5.0 2.0
331-069192 198.2001418 -23.9465892 11.773 12.093 -7.7 -4.4
327-066210 198.6457668 -24.6979937 11.758 11.872 9.0 -6.0
325-069424 197.6605136 -25.0951817 12.52 12.659 -9.8 6.4
331-069190 198.1760933 -23.8093675 12.475 12.667 7.7 -9.9
324-068357 198.0009203 -25.2010167 12.107 12.44 -4.5 -7.2
330-068649 198.6356865 -24.1442009 12.708 12.888 -7.8 4.2
324-068276 197.4651862 -25.2394106 12.011 12.209 14.6 1.4
325-069412 197.5630098 -25.1034028 11.706 12.061 -12.9 0.7
323-070704 197.2927024 -25.5552112 10.928 11.214 -11.0 -5.4
323-070858 198.2488248 -25.556572 11.916 12.082 0.8 -8.7
326-067573 198.6930448 -24.8791284 11.777 11.913 5.6 1.9
331-069128 197.7973539 -23.8425587 12.253 12.65 -9.6 -14.8
329-066515 198.2919512 -24.3565756 11.153 11.767 -8.2 0.6
330-068403 197.2038962 -24.094427 12.853 12.982 -7.3 1.7
329-066465 198.0221698 -24.361572 10.736 11.215 -12.1 -3.5
323-070818 198.0049892 -25.5751787 12.503 12.777 -14.2 -6.1
324-068392 198.2156953 -25.3891323 11.137 11.509 -12.5 -7.9
327-065906 196.861855 -24.7400175 12.584 12.771 1.2 5.2
329-066480 198.1131618 -24.2677695 10.945 11.157 -11.5 -3.9
323-070775 197.7492756 -25.5702287 11.954 12.08 -12.0 9.0
326-067296 196.8575768 -24.812125 12.122 12.225 8.1 4.5
325-069286 196.7541427 -25.0612787 12.401 12.533 -1.6 -1.2
326-067471 198.0707286 -24.8322081 11.583 11.883 -6.1 -10.7
325-069341 197.1140148 -25.0217603 11.621 11.931 -7.7 1.5
327-066157 198.3680374 -24.7563078 11.363 11.78 -9.2 -3.9
325-069543 198.3647895 -25.1810706 10.939 11.26 -2.8 1.8
327-065931 197.0091248 -24.6316325 12.642 12.814 -7.0 12.2
323-070888 198.4299942 -25.4284498 11.855 11.981 7.9 -6.5
327-065976 197.3259506 -24.6659584 10.988 11.269 -12.0 5.2
