UCAC4 RA DEC MAG_R
331-068932 196.6706589 -23.9730595 11.563
329-066236 196.6804259 -24.21733 11.835
330-068330 196.70366 -24.0691587 11.99
330-068332 196.7103795 -24.1230292 12.507
332-066517 196.8308174 -23.6043239 12.383
332-066518 196.8319389 -23.7294037 12.518
327-065906 196.861855 -24.7400175 12.584
327-065913 196.8861892 -24.7497331 11.4
327-065923 196.9567098 -24.7611356 11.002
327-065925 196.968935 -24.7911309 12.693
328-069240 196.985488 -24.5745073 11.944
331-068966 196.9905089 -23.9180345 12.699
334-067201 197.0265274 -23.295845 11.658
331-068980 197.0500274 -23.8405345 12.536
333-069669 197.0593324 -23.5813139 11.283
331-068982 197.0690142 -23.878735 12.174
334-067211 197.1010186 -23.3720656 11.717
326-067331 197.1036474 -24.8576881 12.066
335-069367 197.1052083 -23.1446817 11.925
328-069249 197.1092933 -24.4206012 12.76
334-067213 197.113225 -23.3586973 10.867
331-068988 197.1170683 -23.9939381 11.464
332-066571 197.1685806 -23.7419309 12.143
335-069387 197.1865571 -23.1708681 12.592
327-065958 197.1922927 -24.7297137 12.065
330-068403 197.2038962 -24.094427 12.853
331-069014 197.2326224 -23.9154256 12.28
330-068411 197.2621727 -24.0347831 11.257
335-069415 197.2913483 -23.0856098 10.69
329-066338 197.3068174 -24.3518084 11.376
