UCAC4 RA DEC MAG_R Vmag pmRA pmDE
338-068126 197.9280112 -22.5230923 11.689 12.22 -11.9 0.4
332-066518 196.8319389 -23.7294037 12.518 12.819 8.5 -6.5
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
338-067890 196.5509674 -22.4878542 12.484 12.746 -11.5 -9.7
332-066629 197.5452674 -23.6842275 11.966 12.122 -1.6 1.1
335-069455 197.5390921 -23.1338837 12.508 12.855 -2.2 -3.6
337-066304 196.313703 -22.7677203 11.64 11.974 0.6 1.0
337-066532 197.7516024 -22.7544959 12.487 12.611 -10.8 -0.2
336-067713 196.4567512 -22.8862087 12.228 12.559 -6.6 1.7
335-069494 197.7671715 -23.1925823 11.897 12.169 -3.7 -6.6
336-067657 196.1143342 -22.8971048 12.027 12.418 5.7 -1.7
337-066513 197.6085277 -22.7214359 12.118 12.486 -7.9 -6.2
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
334-067092 196.2910003 -23.2770184 12.159 12.292 3.4 -7.5
339-064393 197.2821312 -22.2117517 11.022 11.618 -5.7 3.5
337-066378 196.7784103 -22.7969406 12.826 12.99 -1.2 -5.0
334-067061 196.1504565 -23.3908295 11.747 12.137 -5.8 3.3
338-068013 197.2759145 -22.5681073 11.78 11.928 -9.3 -3.1
334-067308 197.6659359 -23.3604887 11.417 11.598 9.4 -6.5
338-067852 196.3533124 -22.4500395 10.588 11.044 -11.3 -8.4
336-067977 197.8747848 -22.8713114 12.825 12.985 5.9 -0.4
334-067269 197.4232562 -23.3874939 12.2 12.556 0.2 -4.3
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
337-066367 196.721438 -22.6132039 11.645 11.952 -11.1 -0.4
335-069474 197.6494359 -23.1708459 12.544 12.833 -4.6 4.0
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
333-069669 197.0593324 -23.5813139 11.283 11.81 -3.7 5.6
340-066870 197.6072371 -22.1734714 10.995 11.39 -8.1 -5.1
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
334-067299 197.5832662 -23.2690328 11.469 11.588 2.4 2.3
