UCAC4 RA DEC MAG_R Vmag pmRA pmDE
340-066698 196.5802321 -22.0175437 12.723 12.84 0.8 -5.5
335-069423 197.3166209 -23.1285139 11.31 11.448 -7.5 -2.8
338-067768 195.7740124 -22.4678506 11.976 12.108 -8.2 -8.9
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
338-067784 195.9422186 -22.4054317 12.566 12.754 -13.5 -10.4
336-067657 196.1143342 -22.8971048 12.027 12.418 5.7 -1.7
337-066498 197.5054233 -22.6042717 12.476 12.582 10.4 1.8
339-064177 195.9440342 -22.283007 12.569 12.843 7.8 2.7
339-064259 196.4657636 -22.3986553 12.755 12.969 2.1 -9.7
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
340-066676 196.3609498 -22.0511406 12.316 12.511 -0.5 0.5
332-066518 196.8319389 -23.7294037 12.518 12.819 8.5 -6.5
338-067942 196.837905 -22.48384 11.202 11.342 9.2 -11.2
336-067695 196.3439109 -22.8776848 12.139 12.244 -0.4 2.5
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
335-069419 197.302703 -23.0323267 11.986 12.289 1.0 -12.7
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
340-066703 196.6104112 -22.1226037 12.077 12.167 -11.5 -2.7
336-067713 196.4567512 -22.8862087 12.228 12.559 -6.6 1.7
337-066257 195.9223012 -22.738347 12.549 12.79 -0.4 -6.1
331-068918 196.569378 -23.8906845 12.786 12.957 0.8 -14.0
335-069216 196.1249483 -23.0783628 12.613 12.768 -1.6 -2.1
334-067061 196.1504565 -23.3908295 11.747 12.137 -5.8 3.3
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
337-066277 196.1100045 -22.7271995 12.412 12.741 -6.1 10.5
335-069270 196.451378 -23.1671631 12.617 12.818 -12.6 -8.4
334-067092 196.2910003 -23.2770184 12.159 12.292 3.4 -7.5
335-069204 196.0487353 -23.0371145 12.643 12.784 -12.1 3.2
337-066454 197.2110612 -22.6299603 12.663 12.982 -1.1 0.6
