_RAJ2000	_DEJ2000	Label	Plan	RA (ICRS)	DE (ICRS)	X	Y
----------	----------	---------------	----------	-------------	-------------	--------	--------
197.44294024882353	-23.282375668237485	Tag 21	CDS/P/2MASS/color	13:09:46.30566	-23:16:56.5524	 	 
197.30596585395608	-23.482915611170483	Tag 24	CDS/P/2MASS/color	13:09:13.43180	-23:28:58.4962	 	 
197.3526477469405	-23.652383371513352	Tag 25	CDS/P/2MASS/color	13:09:24.63546	-23:39:08.5801	 	 
197.20177131538725	-23.378803858994647	Tag 27	CDS/P/2MASS/color	13:08:48.42512	-23:22:43.6939	 	 
196.87283277163135	-23.364790044487567	Tag 28	CDS/P/2MASS/color	13:07:29.47987	-23:21:53.2442	 	 
197.1309919027687	-23.220403493456182	Tag 29	CDS/P/2MASS/color	13:08:31.43806	-23:13:13.4526	 	 
196.90777245810193	-23.487466211248968	Tag 43	CDS/P/2MASS/color	13:07:37.86539	-23:29:14.8784	 	 
197.21903782923803	-23.73564685102032	Tag 49	CDS/P/2MASS/color	13:08:52.56908	-23:44:08.3287	 	 
197.06025406242682	-23.774681850546944	Tag 50	CDS/P/2MASS/color	13:08:14.46097	-23:46:28.8547	 	 
197.12948831149257	-23.595743749886328	Tag 51	CDS/P/2MASS/color	13:08:31.07719	-23:35:44.6775	 	 
197.4923302493019	-23.533789860417755	Tag 52	CDS/P/2MASS/color	13:09:58.15926	-23:32:01.6435	 	 
196.94288153573632	-23.941583173420156	Tag 54	CDS/P/2MASS/color	13:07:46.29157	-23:56:29.6994	 	 
196.90008408427454	-23.623519394772842	Tag 55	CDS/P/2MASS/color	13:07:36.02018	-23:37:24.6698	 	 
196.86227476786752	-23.780877118501152	Tag 56	CDS/P/2MASS/color	13:07:26.94594	-23:46:51.1576	 	 
196.69240986678756	-23.72918387072715	Tag 57	CDS/P/2MASS/color	13:06:46.17837	-23:43:45.0619	 	 
196.68487959493189	-23.86251261703522	Tag 58	CDS/P/2MASS/color	13:06:44.37110	-23:51:45.0454	 	 
196.74764369730696	-23.973024602885225	Tag 59	CDS/P/2MASS/color	13:06:59.43449	-23:58:22.8886	 	 
196.6418085875957	-23.927447830228914	Tag 60	CDS/P/2MASS/color	13:06:34.03406	-23:55:38.8122	 	 
196.4996598553221	-23.976405709974937	Tag 61	CDS/P/2MASS/color	13:05:59.91837	-23:58:35.0606	 	 
197.5915189306246	-23.359465116596834	Tag 94	CDS/P/2MASS/color	13:10:21.96454	-23:21:34.0744	 	 
197.3766072819586	-23.16626065423145	Tag 121	CDS/P/2MASS/color	13:09:30.38575	-23:09:58.5384	 	 
196.94318411956937	-23.26862382822807	Tag 122	CDS/P/2MASS/color	13:07:46.36419	-23:16:07.0458	 	 
196.58058054873047	-24.502528360513967	Tag 137	CDS/P/2MASS/color	13:06:19.33933	-24:30:09.1021	 	 
196.5490854467123	-24.351293264353274	Tag 138	CDS/P/2MASS/color	13:06:11.78051	-24:21:04.6558	 	 
197.6814861910176	-23.69920771089342	Tag 140	CDS/P/2MASS/color	13:10:43.55669	-23:41:57.1478	 	 
197.4248702953369	-23.7697749018284	Tag 141	CDS/P/2MASS/color	13:09:41.96887	-23:46:11.1896	 	 
197.69052071739955	-23.917358968420967	Tag 142	CDS/P/2MASS/color	13:10:45.72497	-23:55:02.4923	 	 
197.74221342383723	-24.082712778205007	Tag 143	CDS/P/2MASS/color	13:10:58.13122	-24:04:57.7660	 	 
197.14440339813308	-23.902316003099948	Tag 144	CDS/P/2MASS/color	13:08:34.65682	-23:54:08.3376	 	 
197.38343827405464	-23.90354949356141	Tag 145	CDS/P/2MASS/color	13:09:32.02519	-23:54:12.7782	 	 
197.49156665950957	-24.023284163038113	Tag 146	CDS/P/2MASS/color	13:09:57.97600	-24:01:23.8230	 	 
197.5826810781918	-24.177637586711757	Tag 147	CDS/P/2MASS/color	13:10:19.84346	-24:10:39.4953	 	 
197.60710002065798	-24.309985768507957	Tag 148	CDS/P/2MASS/color	13:10:25.70400	-24:18:35.9488	 	 
197.05323331998906	-24.052391385718476	Tag 149	CDS/P/2MASS/color	13:08:12.77600	-24:03:08.6090	 	 
197.3016508497164	-24.213469778404875	Tag 150	CDS/P/2MASS/color	13:09:12.39620	-24:12:48.4912	 	 
197.80689207386365	-23.961811986510583	Tag 151	CDS/P/2MASS/color	13:11:13.65410	-23:57:42.5232	 	 
197.64983131370676	-24.524428007489238	Tag 152	CDS/P/2MASS/color	13:10:35.95952	-24:31:27.9408	 	 
197.8059043201685	-24.390052150099425	Tag 153	CDS/P/2MASS/color	13:11:13.41704	-24:23:24.1877	 	 
197.36016470101762	-24.449187334669027	Tag 154	CDS/P/2MASS/color	13:09:26.43953	-24:26:57.0744	 	 
196.95436914063524	-24.157254109888733	Tag 155	CDS/P/2MASS/color	13:07:49.04859	-24:09:26.1148	 	 
197.04150152070832	-24.25985015736081	Tag 156	CDS/P/2MASS/color	13:08:09.96036	-24:15:35.4606	 	 
196.5098795299467	-24.14827056407528	Tag 157	CDS/P/2MASS/color	13:06:02.37109	-24:08:53.7740	 	 
196.72766889040116	-24.223365287823494	Tag 158	CDS/P/2MASS/color	13:06:54.64053	-24:13:24.1150	 	 
196.85270405076747	-24.288567151969346	Tag 159	CDS/P/2MASS/color	13:07:24.64897	-24:17:18.8417	 	 
197.07857128613037	-24.36593254588206	Tag 160	CDS/P/2MASS/color	13:08:18.85711	-24:21:57.3572	 	 
196.84530984721022	-24.44697725322632	Tag 161	CDS/P/2MASS/color	13:07:22.87436	-24:26:49.1181	 	 
197.48258570235814	-24.673261969144562	Tag 162	CDS/P/2MASS/color	13:09:55.82057	-24:40:23.7431	 	 
197.25358926304844	-24.903000909449208	Tag 163	CDS/P/2MASS/color	13:09:00.86142	-24:54:10.8033	 	 
196.9506139116699	-24.494587084512087	Tag 167	CDS/P/2MASS/color	13:07:48.14734	-24:29:40.5135	 	 
197.29274983977498	-24.552794716393187	Tag 168	CDS/P/2MASS/color	13:09:10.25996	-24:33:10.0610	 	 
197.13548549216554	-24.676624083444537	Tag 169	CDS/P/2MASS/color	13:08:32.51652	-24:40:35.8467	 	 
197.35131275871203	-24.76945064407388	Tag 170	CDS/P/2MASS/color	13:09:24.31506	-24:46:10.0223	 	 
