RA DEC MAG_R MAG_G MAG_Z FLUX_R FLUX_G FLUX_Z FIBERFLUX_G FIBERFLUX_R FIBERFLUX_Z MW_TRANSMISSION_G MW_TRANSMISSION_R MW_TRANSMISSION_Z FLUX_IVAR_G FLUX_IVAR_R FLUX_IVAR_Z GAIA_PHOT_G_MEAN_MAG GAIA_PHOT_G_MEAN_MAG_1 MASKBITS FRACMASKED_G FRACMASKED_R FRACMASKED_Z FRACFLUX_G FRACFLUX_R FRACFLUX_Z FRACIN_G FRACIN_R FRACIN_Z NOBS_G NOBS_R NOBS_Z PROB LOCAL SEP
196.0333210577721 -24.54487181181262 19.801498 21.232403 18.90298 12.006056 3.2139509 27.466785 1.0669549 3.9857233 9.118316 0.67148155 0.7646936 0.86065346 349.877 185.7788 35.625233 0.0 0.0 0 0.016060436 0.016554583 0.017123632 0.028191714 0.028055346 0.019812355 0.99690294 0.997104 0.99647224 4 5 6 0.0137512176139322 True 0.9491580133058244
196.2975134715543 -24.2406421770851 19.959785 20.66729 19.38399 10.377327 5.408595 17.636168 2.7571797 5.2901273 8.99052 0.6547876 0.7518348 0.85252804 292.75366 162.20609 64.52713 0.0 0.0 0 0.0053001023 0.0056605777 0.0076536783 0.0014258979 0.0020297186 0.002730283 0.99999964 0.9999998 0.9999994 3 2 5 0.08171868723043 True 0.5894071752592491
196.4771091374637 -24.06871437295763 19.581884 20.371733 18.99114 14.697581 7.1007986 25.324665 2.0114985 4.163498 7.1739144 0.6531354 0.75055635 0.8517169 1226.8392 556.305 222.26875 0.0 0.0 0 0.002305631 0.007371768 0.026968056 0.032138683 0.0306037 0.025380895 0.9996857 0.9996291 0.9994743 19 20 44 0.1576592381212768 True 0.3825063144108379
196.2994290521357 -24.21839500651333 19.989967 20.697306 19.419992 10.092841 5.2611175 17.060947 1.6709281 3.205481 5.418547 0.65272456 0.7502383 0.85151494 196.82898 100.4425 36.43255 0.0 0.0 0 0.006156329 0.006624499 0.008348785 0.0 0.0 0.0 0.99553764 0.9952973 0.99321425 3 2 5 0.08171868723043 True 0.5793775436688953
196.030546456874 -24.47524195009024 18.866192 19.471035 18.342176 28.413382 16.27744 46.039383 5.649532 9.861644 15.979232 0.6706226 0.76403457 0.8602385 265.57376 195.24672 42.097393 0.0 0.0 0 0.0031169702 0.003141429 0.0053496202 0.00040844263 0.0004257349 0.0003503449 0.99967223 0.9346468 0.99946845 4 5 5 0.0324176478216491 True 0.9138081346432474
196.0511281615738 -23.79659436328475 19.839268 21.019226 18.919092 11.595593 3.9111936 27.062181 1.2576447 3.728564 8.701847 0.6582758 0.75453043 0.8542364 338.224 193.96542 24.620346 0.0 0.0 0 0.0042414237 0.0058455137 0.0069869547 0.00035277146 0.00032691206 0.00022566791 0.9987814 0.99830896 0.99671835 2 4 5 0.0799801801616146 True 0.7956477199828837
196.7056612671803 -23.43144613162803 19.811844 21.401308 18.883976 11.892213 2.7509122 27.951801 1.0214524 4.415746 10.378898 0.6699533 0.7635209 0.8599149 1393.2888 575.9758 212.53142 0.0 0.0 0 0.0017680823 0.0017421305 0.02199976 0.41945136 0.16460414 0.08881609 0.9999987 0.9999985 0.99999845 19 20 43 0.4185095761367037 True 0.6013868343596884
197.1104345984126 -24.00653448629454 19.620344 20.803322 18.778044 14.186086 4.7716823 30.816456 1.3419955 3.9897172 8.666868 0.6802219 0.7713844 0.86485755 1065.4792 461.57092 165.7644 0.0 0.0 0 0.022905976 0.03738769 0.042497538 0.04067216 0.02282635 0.027886963 0.9994386 0.9993711 0.9993152 18 20 42 0.3931849180048969 True 0.2007896128195797
197.2124801059491 -24.15899345972642 19.768278 20.486067 19.204079 12.37909 6.3910666 20.814611 2.7046762 5.2387857 8.808667 0.6772541 0.7691157 0.86343384 212.41644 114.91712 12.419991 0.0 0.0 0 0.004644501 0.006087546 0.009459378 0.0 0.0 0.0 0.99653286 0.9955779 0.9928049 2 2 2 0.3730475150267456 True 0.330227161296675
196.7213304154961 -23.94895157980378 19.945662 20.75422 19.45921 10.513205 4.992432 16.4557 1.0791827 2.2725737 3.5571258 0.6584923 0.75469756 0.8543422 841.9009 434.16473 166.26213 0.0 0.0 0 0.035746623 0.0020562347 0.03940465 0.005113745 0.010650363 0.01001839 0.9095846 0.89297223 1.0 16 18 42 0.2629131999695425 True 0.1657675415487615
