UCAC4 RA DEC MAG_R Vmag pmRA pmDE
327-065882 196.6384071 -24.7851895 12.129 12.49 -5.8 -1.2
332-066518 196.8319389 -23.7294037 12.518 12.819 8.5 -6.5
326-067296 196.8575768 -24.812125 12.122 12.225 8.1 4.5
327-065906 196.861855 -24.7400175 12.584 12.771 1.2 5.2
326-067331 197.1036474 -24.8576881 12.066 12.536 -7.8 -0.6
330-068403 197.2038962 -24.094427 12.853 12.982 -7.3 1.7
331-069014 197.2326224 -23.9154256 12.28 12.521 -9.0 2.2
332-066600 197.3389895 -23.70516 11.281 11.743 -3.8 -9.9
329-066359 197.3852245 -24.37294 11.022 11.641 -1.5 -4.6
326-067372 197.4212498 -24.8442559 12.046 12.227 4.5 -7.1
332-066629 197.5452674 -23.6842275 11.966 12.122 -1.6 1.1
331-069077 197.54841 -23.904192 11.6 12.023 -1.4 3.5
327-066029 197.5885662 -24.6382434 11.991 12.071 -5.0 -3.3
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
331-069117 197.7455448 -23.9643225 12.417 12.576 -1.1 7.6
330-068503 197.7780183 -24.1569481 12.53 12.672 1.5 4.5
330-068515 197.8289753 -24.1654609 11.418 11.579 -2.4 -7.7
328-069401 197.9517018 -24.4648006 11.067 11.484 -7.4 4.0
327-066109 198.0435965 -24.7683628 12.725 12.888 -0.6 9.3
329-066515 198.2919512 -24.3565756 11.153 11.767 -8.2 0.6
