UCAC4 RA DEC MAG_R
328-069152 196.2787562 -24.4641078 12.233
330-068270 196.2901762 -24.1675212 11.657
327-065838 196.3317977 -24.7565256 12.447
327-065848 196.3712083 -24.69386 11.924
326-067229 196.3717683 -24.8648609 12.006
327-065858 196.4344374 -24.7641637 11.718
326-067241 196.4353377 -24.8173692 12.809
328-069168 196.4423724 -24.5897787 12.046
328-069170 196.4544512 -24.4737545 12.497
328-069176 196.4892292 -24.4793864 12.018
327-065864 196.4907177 -24.6291753 12.181
325-069251 196.5292524 -25.1325275 12.647
330-068297 196.5501956 -24.0689923 11.476
331-068918 196.569378 -23.8906845 12.786
328-069186 196.5772018 -24.4594581 12.169
324-068129 196.6176095 -25.2234787 12.4
325-069270 196.6347945 -25.1318575 11.761
327-065882 196.6384071 -24.7851895 12.129
331-068932 196.6706589 -23.9730595 11.563
329-066236 196.6804259 -24.21733 11.835
324-068143 196.6845024 -25.3475225 11.543
330-068330 196.70366 -24.0691587 11.99
330-068332 196.7103795 -24.1230292 12.507
324-068156 196.7480142 -25.3141756 11.758
325-069286 196.7541427 -25.0612787 12.401
325-069291 196.7950183 -25.146455 12.631
324-068166 196.814585 -25.3148331 11.539
324-068171 196.8299095 -25.30271 11.278
332-066518 196.8319389 -23.7294037 12.518
326-067296 196.8575768 -24.812125 12.122
