UCAC4 RA DEC MAG_R
335-069125 195.5653245 -23.178135 12.451
335-069134 195.6081206 -23.1635289 11.927
336-067594 195.6303795 -22.9133653 12.415
333-069469 195.6631215 -23.5775892 10.733
334-066999 195.6807121 -23.2972764 12.494
331-068806 195.6895292 -23.9703367 11.121
334-067000 195.6989703 -23.3760167 12.0
334-067002 195.7112427 -23.2544381 12.117
336-067612 195.7386909 -22.9402117 12.712
331-068814 195.75317 -23.8267173 11.339
336-067617 195.77034 -22.8642028 11.124
330-068184 195.7721748 -24.0985912 12.759
336-067621 195.784838 -22.8142539 12.214
330-068192 195.8088665 -24.1133842 12.142
337-066256 195.8868906 -22.7472442 11.372
334-067032 195.8996259 -23.3224178 12.653
335-069177 195.9090515 -23.157732 11.792
335-069178 195.9206695 -23.0052248 12.557
337-066257 195.9223012 -22.738347 12.549
330-068218 195.9980371 -24.0142114 12.32
330-068220 196.0173239 -24.1436681 11.627
335-069203 196.042565 -23.1016823 10.814
333-069508 196.045328 -23.4123662 12.748
335-069204 196.0487353 -23.0371145 12.643
336-067647 196.0530492 -22.8477959 12.57
336-067650 196.0688924 -22.9795381 11.627
329-066153 196.0776874 -24.2055959 12.527
330-068232 196.0837474 -24.1503667 12.573
331-068857 196.0875377 -23.8693459 12.56
336-067657 196.1143342 -22.8971048 12.027
