UCAC4 RA DEC MAG_R Vmag pmRA pmDE
487-131295 318.5894727 7.306255 11.976 12.336 -7.0 -6.4
482-127509 317.9810983 6.277225 10.966 11.31 7.2 -0.3
484-128134 318.1399668 6.6424139 11.44 11.899 0.7 1.6
485-129442 317.1981206 6.8102764 11.81 12.136 -3.3 -5.0
487-130873 317.3330921 7.267237 12.726 12.823 0.6 -4.1
486-131809 317.1615315 7.022447 12.863 12.983 3.9 7.8
485-129432 317.1772442 6.9681589 11.935 12.329 -8.7 -6.0
485-129369 317.001188 6.9687814 11.013 11.436 -8.0 -7.5
490-137201 317.3996115 7.8962112 12.717 12.868 -4.9 8.8
487-131308 318.6325762 7.3116023 11.841 12.02 2.9 -7.7
482-127367 317.5914906 6.2980478 12.19 12.585 -4.1 -4.9
491-143451 318.0138303 8.0779453 12.164 12.611 0.1 -9.6
491-143118 317.1985027 8.049452 12.423 12.744 8.4 1.1
483-133319 317.4234995 6.5353098 12.691 12.863 0.7 6.2
486-132197 318.1833359 7.1686156 12.395 12.774 1.2 -8.8
485-129865 318.2973015 6.9903345 11.876 12.218 5.4 1.3
486-132003 317.6151233 7.0556856 12.864 12.971 -8.8 -4.8
490-137180 317.3471048 7.9001406 11.574 11.967 2.6 -4.0
486-132026 317.6944739 7.1063056 11.8 12.138 5.8 -4.2
488-137675 318.02114 7.4590253 11.831 12.39 -4.3 -3.2
489-134052 318.1743603 7.7199634 11.131 11.463 -2.5 7.4
484-127782 317.267473 6.6047281 12.682 12.8 -5.5 -7.3
487-130685 316.8848368 7.2202003 11.311 11.804 -4.7 -4.1
483-133569 318.1195271 6.4944817 12.132 12.539 -3.1 -2.6
491-143488 318.1021653 8.0607353 12.254	12.696 2.4 -9.7
490-137598 318.3408536 7.9203228 11.923	12.113 7.7 -8.2
490-137550 318.2072477 7.8225842 12.242	12.393 5.6 -7.9
490-137606 318.3657836 7.9507037 12.513	12.824 5.7 0.4
490-137517 318.1128183 7.8027937 11.268	11.329 -7.9 -9.5
490-137335 317.7559874 7.8119159 11.707	12.105 1.6 -0.8
489-134105 318.3209718 7.6338064 12.893	12.956 5.1 0.2
488-137867 318.5484821 7.5765925 12.934	12.936 -3.5 -5.7
488-137484 317.5644709 7.5485473 11.576	11.658 -1.2 5.1
487-131330 318.6947586 7.3026803 12.569	12.898 -3.2 -4.2
486-132415 318.7445559 7.0191837 12.074	12.653 5.3 -0.3
485-129851 318.2561974 6.8962828 12.247	12.622 -2.1 -1.9
486-132151 318.0161977 7.0089764 12.286	12.485 1.9 -1.0
487-130737 316.9984471 7.3805312 12.742	12.877 -3.7 -6.1
484-127707 317.0603003 6.7979259 12.366	12.595 4.3 10.0
