UCAC4 RA DEC MAG_R Vmag pmRA pmDE
467-128962 318.6916736 3.3102934 12.447 12.702 0.7 3.2
473-127764 319.2393574 4.4286331 12.083 12.459 -1.7 -6.5
473-127361 318.0738559 4.517395 11.092 11.409 4.4 6.3
476-127587 319.0984715 5.1064912 12.333 12.639 5.0 -6.3
473-127693 319.0451262 4.5910948 12.675 12.976 -2.0 -8.1
474-121840 318.7247589 4.679612 12.796 12.975 -1.5 2.1
468-134632 318.7143459 3.5989623 11.853 12.322 -6.3 -6.0
473-127848 319.4745156 4.5734628 12.286 12.842 -4.0 -3.4
469-130056 319.1964665 3.7056181 12.436 12.597 -6.0 -4.4
473-127519 318.5409577 4.5432842 12.769 12.878 3.9 1.5
473-127340 317.9968559 4.4740331 12.356 12.458 -0.3 8.3
473-127265 317.8097583 4.4553206 12.563 12.7 -0.9 -6.6
471-126702 318.3452512 4.1933806 12.139 12.26 -4.2 -8.9
474-122071 319.498035 4.7674106 11.784 12.058 -7.7 -4.4
476-127595 319.1189277 5.0376256 11.409 11.797 -2.3 -6.2
471-126848 318.7903003 4.13879 12.345 12.664 3.2 -6.1
471-126604 318.0688724 4.1540792 11.348 11.675 2.7 -6.9
473-127878 319.5708671 4.5341717 11.738 11.839 -1.6 2.8
475-124923 318.0908524 4.9980842 12.701 12.875 0.1 -7.9
472-123909 319.4390374 4.2258106 11.436 11.805 3.9 9.5
472-123793 319.0658374 4.3711195 12.464 12.908 -5.0 -2.8
472-123923 319.4859889 4.2959514 11.033 11.394 -2.0 -6.5
474-121772 318.4872259 4.7747467 12.609 12.828 6.6 0.9
473-127357 318.0544871 4.4555192 11.809 12.195 -3.2 -2.2
471-126678 318.2894195 4.0937987 11.988 12.503 -0.9 -6.8
470-130377 318.8627656 3.9434714 11.726 11.79 1.9 2.0
473-127710 319.0997495 4.4298984 10.832 11.162 7.4 9.0
