UCAC4 RA DEC MAG_R Vmag pmRA pmDE
488-137541 317.7068336 7.4920656 12.461 12.749 5.8 -2.1
486-131949 317.4662203 7.0828978 11.441 11.739 8.5 -8.5
482-127367 317.5914906 6.2980478 12.19 12.585 -4.1 -4.9
486-131816 317.1790527 7.0208528 11.902 11.976 4.9 8.5
482-127284 317.2975718 6.3032834 11.388 11.545 4.2 9.2
486-132449 318.8134224 7.1363489 12.363 12.795 -2.2 -9.4
484-127947 317.6994418 6.7380434 11.407 11.82 0.0 -6.5
485-129369 317.001188 6.9687814 11.013 11.436 -8.0 -7.5
486-131837 317.2314506 7.1098667 12.693 12.788 10.0 0.7
482-127195 317.0380553 6.3680045 11.39 11.769 -2.5 -8.5
487-130873 317.3330921 7.267237 12.726 12.823 0.6 -4.1
484-127782 317.267473 6.6047281 12.682 12.8 -5.5 -7.3
487-131011 317.7433998 7.2913167 11.829 11.934 -4.3 -4.2
489-134040 318.150065 7.6469117 12.46 12.707 3.2 -6.8
481-129926 318.7069265 6.1875014 12.629 12.958 -3.4 -9.3
488-137499 317.6031739 7.51025 12.47 12.561 -0.1 8.2
489-134080 318.2504503 7.6101573 12.612 12.642 0.1 -2.0
482-127346 317.5296024 6.3730156 11.281 11.828 -2.8 -5.8
483-133721 318.62704 6.5377592 12.622 12.8 1.6 -4.7
488-137707 318.1177268 7.4324984 12.249 12.479 4.3 -5.3
484-127788 317.2970203 6.7976278 12.787 12.896 6.1 1.4
489-133979 318.020658 7.7627137 10.847 11.183 8.3 -2.6
485-129597 317.6008389 6.93239 12.157 12.531 -5.0 -7.4
481-129747 318.0853186 6.0497031 12.179 12.329 3.7 6.8
