RA	DEC	MAG_R	MAG_G	MAG_Z	FLUX_R	FLUX_G	FLUX_Z	FIBERFLUX_G	FIBERFLUX_R	FIBERFLUX_Z	MW_TRANSMISSION_G	MW_TRANSMISSION_R	MW_TRANSMISSION_Z	FLUX_IVAR_G	FLUX_IVAR_R	FLUX_IVAR_Z	GAIA_PHOT_G_MEAN_MAG	GAIA_PHOT_G_MEAN_MAG_1	MASKBITS	FRACMASKED_G	FRACMASKED_R	FRACMASKED_Z	FRACFLUX_G	FRACFLUX_R	FRACFLUX_Z	FRACIN_G	FRACIN_R	FRACIN_Z	NOBS_G	NOBS_R	NOBS_Z	PROB	LOCAL	SEP	0
195.9881178494249	-22.79566487358321	16.691814	17.50298	16.04981	210.51077	99.72606	380.2558	4.15029	8.760806	15.825069	0.72469646	0.8050058	0.8857443	26.90777	11.578819	1.9433069	0.0	0.0	0.0	0.05236781	0.060513455	0.04996804	0.10089049	0.054644376	0.021503195	0.9486653	0.94768244	0.94889146	4.0	4.0	7.0	0.2813370508500143	True	1.4666039906457775	 
196.3785045299742	-22.98621410861269	19.703844	20.921951	18.852505	13.13597	4.2777886	28.77387	1.5374334	4.721056	10.341304	0.6987394	0.78546774	0.8736544	1799.46	812.7748	278.60214	0.0	0.0	0.0	0.00051768846	0.0006116054	0.01885715	0.00068324787	0.0007965502	0.001087768	0.99999994	1.0000001	1.0	20.0	22.0	43.0	0.4315369602299566	True	1.1243433519498178	 
197.2572557327389	-22.39659328504785	19.161482	19.80261	18.730333	21.647472	11.993764	32.200798	1.7844862	3.220808	4.79098	0.7429503	0.818609	0.8940855	518.1335	230.84105	111.01386	0.0	0.0	0.0	0.017044377	0.007495474	0.01917974	0.02110176	0.012759183	0.0066893892	0.94562066	0.9999876	0.9999857	17.0	16.0	45.0	0.3964009224648942	True	1.6464329584487996	 
197.7373399969625	-23.01904217262724	19.983675	21.34226	19.123625	10.1515	2.904666	22.415596	1.4468241	5.0564966	11.165285	0.71646184	0.79883265	0.8819386	2012.7102	919.5764	396.21106	0.0	0.0	0.0	0.0016118018	0.0013290156	0.0018157734	0.020984912	0.0253817	0.014417712	0.94117886	0.90311205	1.0	16.0	18.0	43.0	0.248606410044278	True	1.255968606134804	 
197.1522356649703	-23.79402034009966	19.825415	21.225279	18.966625	11.744498	3.2351081	25.902971	0.92321366	3.351567	7.392018	0.64411753	0.7435599	0.84726673	972.58984	441.77478	159.22903	0.0	0.0	2304.0	0.0012107638	0.0015151273	0.0068893274	0.011637398	0.012968999	0.011610317	0.9444452	0.99999994	0.9999959	17.0	20.0	41.0	0.4521166594167346	True	0.3211706435430403	 
195.765982186404	-22.57760835775591	19.110014	20.48222	18.205132	22.698364	6.4137506	52.2333	1.9870216	7.0321	16.182215	0.7100915	0.79404116	0.87897563	159.01003	53.238655	21.183565	0.0	0.0	0.0	0.008426969	0.008821629	0.008394623	0.2445271	0.15275201	0.096556045	0.6663829	0.66637325	0.99942887	2.0	2.0	7.0	0.2327800519284327	True	1.761595103339904	 
196.841082599149	-23.98152023638953	19.797037	21.363216	18.889288	12.055494	2.849139	27.815351	0.96747833	4.0936685	9.445222	0.65881944	0.75495005	0.85450214	590.47876	234.92657	107.06969	0.0	0.0	0.0	0.07151485	0.016787693	0.0063320813	0.21232072	0.18677555	0.079966255	0.5353467	0.4744512	0.52300316	10.0	10.0	22.0	0.2981364714375002	True	0.0527541786999175	 
195.8985071273163	-23.11363121200208	19.577877	20.593025	18.884977	14.75193	5.7914834	27.926033	1.8797106	4.787955	9.063803	0.70824695	0.7926512	0.8781147	344.41882	168.48816	30.568148	0.0	0.0	0.0	0.0022877054	0.0033178078	0.0029363493	0.011510548	0.016822243	0.009521135	0.99989533	0.9998578	0.9922148	4.0	4.0	7.0	0.1415119151353205	True	1.2737172668712495	 
196.4204985028194	-22.98068152835918	17.557602	18.515171	16.76749	94.83289	39.25829	196.33775	8.112623	19.596972	40.57269	0.69195056	0.78031886	0.87044644	575.9364	294.22864	117.82768	0.0	0.0	0.0	0.00028601143	9.80883e-05	0.004873739	0.19851162	0.13839489	0.07880317	0.86363643	0.91666645	0.9772733	19.0	22.0	43.0	0.4315369602299566	True	1.1140334551885216	 
196.4356712695061	-23.68654438196069	19.896519	21.519957	18.941994	11.000003	2.4661381	26.49735	1.2628753	5.6329494	13.568927	0.65245116	0.75002664	0.8513806	2173.3367	907.1188	364.8386	0.0	0.0	0.0	0.014193882	0.011523797	0.0060627433	0.025292924	0.033002444	0.037821874	0.99999994	1.0	0.9999999	18.0	20.0	43.0	0.2275615754833613	True	0.5257877063389047	 
197.263320401424	-22.58234936433979	18.821445	19.437096	18.324957	29.608881	16.7943	46.775352	3.1467247	5.547775	8.764234	0.7169172	0.79917467	0.88214976	615.2786	312.6491	134.63124	0.0	0.0	0.0	9.768091e-05	0.00011616724	0.00017005671	0.5470714	0.46762264	0.37442225	0.99997956	0.9999764	0.98930913	16.0	18.0	42.0	0.417124470777205	True	1.4663239168516085	 
196.8450555768233	-22.90323659291208	19.908043	21.77064	18.896685	10.883849	1.9576919	27.626518	0.6577747	3.6569188	9.2823715	0.69327354	0.78132355	0.8710731	1166.2943	459.21295	193.02051	0.0	0.0	0.0	0.005510853	0.04278755	0.0139796	0.06086082	0.033695817	0.018595733	0.9999518	0.99956006	0.99701864	19.0	20.0	44.0	0.6072325672089205	True	1.1061534570176434	 
196.8590793136087	-23.53293538021222	19.785988	21.365808	18.904865	12.178808	2.842346	27.41913	1.2739333	5.4585156	12.289195	0.6861043	0.77587163	0.86766803	2073.684	876.8648	340.40585	0.0	0.0	0.0	0.0427642	9.524841e-07	0.004190195	0.18643439	0.22737053	0.20975241	1.0	1.0000001	0.9999997	19.0	20.0	43.0	0.4594758931706846	True	0.4765435117288444	 
196.2434511940445	-22.84675759048294	19.417181	20.672842	18.498056	17.105179	5.3810015	39.882072	0.98325443	3.1255786	7.287533	0.73402065	0.8119682	0.8900212	536.0449	403.02536	131.14508	0.0	0.0	256.0	0.34340936	0.066694796	0.07685023	0.06637409	0.032699533	0.016954312	0.974577	0.9935409	0.97101223	20.0	22.0	43.0	0.4039306379051594	True	1.3036124578893162	 
196.8901191913259	-23.49576058025567	19.8921	20.576708	19.38495	11.044857	5.8791776	17.620546	0.8050577	1.5124135	2.412847	0.68543935	0.775365	0.86735106	71.841934	31.360695	4.7456164	0.0	0.0	0.0	0.04960798	0.052682783	0.048528384	0.008104509	0.01613262	0.020134848	0.9366485	0.93597436	0.93706304	3.0	2.0	2.0	0.4594758931706846	True	0.5128456404137064	 
196.980244732653	-22.80218567467934	19.81124	20.14085	19.55493	11.898841	8.7833395	15.067038	1.9766192	2.6777377	3.3907144	0.7141683	0.7971091	0.8808737	1080.4631	549.98193	194.69238	0.0	0.0	0.0	0.0010616548	0.0013090442	0.02062243	0.0015519458	0.0022572477	0.0034854051	1.0000001	1.0000001	1.0000001	18.0	20.0	43.0	0.5972960011256048	True	1.209193878828997	 
196.3909904397481	-22.98910146643792	19.800768	20.347557	19.388973	12.014137	7.2606726	17.5554	2.2557056	3.7324858	5.454015	0.6961266	0.78348804	0.8724221	1362.5432	667.6862	224.89934	0.0	0.0	0.0	0.0017429908	0.0020955026	0.018262543	0.000543667	0.002357449	0.014370295	0.998928	0.9438427	0.99848336	20.0	22.0	43.0	0.4315369602299566	True	1.1170096629250703	 
196.538731738516	-22.14991358912327	19.703445	21.281048	18.785566	13.140791	3.0731277	30.603655	0.932286	3.9864845	9.284144	0.7183115	0.8002213	0.88279575	220.8208	61.82627	16.959322	0.0	0.0	0.0	0.048732094	0.045144763	0.044860903	0.01411247	0.013011663	0.01027906	0.96526885	0.9613302	0.96325165	3.0	2.0	4.0	0.7213532925816959	True	1.8862862295939669	 
196.1339403618314	-23.02226124316678	19.889359	21.679174	18.948027	11.072772	2.1297581	26.350521	0.8098787	4.2106204	10.020259	0.7203579	0.80175626	0.8837426	1577.5829	679.42255	236.64592	0.0	0.0	0.0	0.0019726935	0.0031687021	0.002429953	0.001676508	0.0023273516	0.0032201398	1.0	1.0000001	0.99993503	20.0	22.0	44.0	0.2827380061086274	True	1.2044415416211756	 
