UCAC4 RA DEC MAG_R Vmag pmRA pmDE
480-130786 318.9741842 5.8403909 12.019 12.347 4.8 -4.2
473-127250 317.7834292 4.4390828 12.2 12.306 -0.3 -6.9
473-127489 318.4692042 4.4560189 -- 11.48 7.7 5.7
477-124638 318.3054371 5.3984945 12.456 12.619 -1.5 -3.6
473-127242 317.7503848 4.5670025 11.582 11.929 3.4 -6.4
477-124477 317.8231986 5.3260078 12.175 12.641 4.1 -6.3
473-127714 319.1162212 4.44659 11.401 11.52 9.9 -0.9
471-126678 318.2894195 4.0937987 11.988 12.503 -0.9 -6.8
481-129807 318.250365 6.0155078 11.519 11.939 -8.2 1.9
472-123685 318.75648 4.3515789 11.932 12.194 -5.6 -2.6
472-123727 318.8980509 4.2104675 12.395 12.416 -0.1 -7.2
480-130727 318.8194971 5.8795281 12.473 12.6 -2.6 -5.5
473-127424 318.2704448 4.4296325 11.659 11.998 5.9 -8.3
472-123712 318.8431818 4.2152409 11.149 11.655 -4.6 -5.8
477-124702 318.532458 5.2695287 11.899 11.749 -0.5 -4.8
475-125315 319.2734545 4.9274887 12.059 12.152 4.8 -5.1
480-130645 318.6179512 5.9992978 12.729 12.93 -1.8 -8.6
472-123423 317.9776989 4.2345148 12.233 12.635 -6.8 -7.7
474-121743 318.3304412 4.7819081 12.264 12.477 -4.0 -9.5
477-124737 318.6581424 5.2555945 12.571 12.718 0.2 -3.2
472-123788 319.0567624 4.3464612 11.502 11.595 7.2 -2.3
476-127176 317.8887977 5.0152706 11.027 11.227 9.4 1.2
473-127340 317.9968559 4.4740331 12.356 12.458 -0.3 8.3
480-130582 318.3919568 5.9076914 12.682 12.967 -5.8 -4.3
472-123743 318.92671 4.3872562 12.583 12.664 -0.9 -3.9
475-125264 319.1050703 4.9867764 11.538 11.876 0.0 -2.1
473-127469 318.3839721 4.4357581 12.126 12.237 8.4 -1.8
480-130610 318.4777774 5.8591745 12.713 12.999 -7.7 -2.7
481-129896 318.5876915 6.0251481 11.404 11.715 6.6 -5.5
480-130774 318.9417798 5.9379025 12.842 12.965 -4.1 -7.8
