UCAC4 RA DEC MAG_R Vmag pmRA pmDE
334-067299 197.5832662 -23.2690328 11.469 11.588 2.4 2.3
326-067331 197.1036474 -24.8576881 12.066 12.536 -7.8 -0.6
326-067229 196.3717683 -24.8648609 12.006 12.203 -13.4 3.9
331-069117 197.7455448 -23.9643225 12.417 12.576 -1.1 7.6
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
329-066359 197.3852245 -24.37294 11.022 11.641 -1.5 -4.6
327-065838 196.3317977 -24.7565256 12.447 12.56 -5.2 2.1
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
334-067269 197.4232562 -23.3874939 12.2 12.556 0.2 -4.3
332-066439 196.2917703 -23.7579128 11.407 11.676 -13.2 -6.4
330-068263 196.25828 -24.1154764 11.934 12.202 12.0 0.6
328-069170 196.4544512 -24.4737545 12.497 12.765 -11.3 8.1
327-065848 196.3712083 -24.69386 11.924 12.395 -11.4 -1.5
332-066609 197.4077748 -23.6951639 12.494 12.775 -3.0 -14.1
327-065931 197.0091248 -24.6316325 12.642 12.814 -7.0 12.2
329-066374 197.4506709 -24.2220231 11.256 11.364 -12.1 1.0
326-067241 196.4353377 -24.8173692 12.809 12.928 -11.0 8.8
326-067372 197.4212498 -24.8442559 12.046 12.227 4.5 -7.1
335-069270 196.451378 -23.1671631 12.617 12.818 -12.6 -8.4
330-068503 197.7780183 -24.1569481 12.53 12.672 1.5 4.5
332-066458 196.4288745 -23.6999189 12.532 12.726 14.1 -2.1
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
332-066629 197.5452674 -23.6842275 11.966 12.122 -1.6 1.1
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
328-069152 196.2787562 -24.4641078 12.233 12.6 -7.9 1.2
327-065858 196.4344374 -24.7641637 11.718 12.084 0.4 -3.2
329-066153 196.0776874 -24.2055959 12.527 12.742 9.7 2.9
327-065976 197.3259506 -24.6659584 10.988 11.269 -12.0 5.2
329-066169 196.222523 -24.3295817 12.104 12.525 -7.1 1.4
328-069186 196.5772018 -24.4594581 12.169 12.503 1.1 0.1
