UCAC4 RA DEC MAG_R Vmag pmRA pmDE
333-069840 198.0082724 -23.4136809 11.175 11.535 -8.8 -9.9
328-069186 196.5772018 -24.4594581 12.169 12.503 1.1 0.1
334-067299 197.5832662 -23.2690328 11.469 11.588 2.4 2.3
332-066609 197.4077748 -23.6951639 12.494 12.775 -3.0 -14.1
334-067391 198.2411059 -23.3624681 12.719 12.981 -11.8 -0.5
330-068297 196.5501956 -24.0689923 11.476 11.886 -10.7 -6.0
332-066629 197.5452674 -23.6842275 11.966 12.122 -1.6 1.1
327-066029 197.5885662 -24.6382434 11.991 12.071 -5.0 -3.3
326-067331 197.1036474 -24.8576881 12.066 12.536 -7.8 -0.6
331-069192 198.2001418 -23.9465892 11.773 12.093 -7.7 -4.4
332-066659 197.7035171 -23.6020764 11.967 12.574 -7.7 -3.1
329-066396 197.5941777 -24.3690123 12.586 12.717 -13.1 3.0
327-066028 197.5882189 -24.7153295 12.129 12.337 -2.2 -13.3
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
328-069401 197.9517018 -24.4648006 11.067 11.484 -7.4 4.0
329-066526 198.363205 -24.3779034 11.521 11.903 -0.5 -5.5
335-069455 197.5390921 -23.1338837 12.508 12.855 -2.2 -3.6
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
331-069128 197.7973539 -23.8425587 12.253 12.65 -9.6 -14.8
329-066378 197.4721756 -24.2356098 12.186 12.323 -15.0 10.7
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
330-068403 197.2038962 -24.094427 12.853 12.982 -7.3 1.7
329-066359 197.3852245 -24.37294 11.022 11.641 -1.5 -4.6
329-066480 198.1131618 -24.2677695 10.945 11.157 -11.5 -3.9
331-069077 197.54841 -23.904192 11.6 12.023 -1.4 3.5
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
331-069117 197.7455448 -23.9643225 12.417 12.576 -1.1 7.6
327-066109 198.0435965 -24.7683628 12.725 12.888 -0.6 9.3
335-069423 197.3166209 -23.1285139 11.31 11.448 -7.5 -2.8
335-069494 197.7671715 -23.1925823 11.897 12.169 -3.7 -6.6
