UCAC4 RA DEC MAG_R Vmag pmRA pmDE
337-066304 196.313703 -22.7677203 11.64 11.974 0.6 1.0
332-066600 197.3389895 -23.70516 11.281 11.743 -3.8 -9.9
340-066768 196.948455 -22.0460595 10.946 11.217 2.2 -3.6
336-067886 197.4018242 -22.8340478 12.655 12.869 6.8 0.7
335-069178 195.9206695 -23.0052248 12.557 12.784 2.1 -11.6
339-064177 195.9440342 -22.283007 12.569 12.843 7.8 2.7
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
334-067002 195.7112427 -23.2544381 12.117 12.279 -6.2 0.5
337-066513 197.6085277 -22.7214359 12.118 12.486 -7.9 -6.2
335-069216 196.1249483 -23.0783628 12.613 12.768 -1.6 -2.1
338-067958 196.9627995 -22.4764595 11.255 11.746 -1.4 4.9
336-067647 196.0530492 -22.8477959 12.57 12.919 -5.2 -2.9
332-066439 196.2917703 -23.7579128 11.407 11.676 -13.2 -6.4
339-064400 197.3441171 -22.3944892 12.62 12.778 3.5 -9.9
335-069204 196.0487353 -23.0371145 12.643 12.784 -12.1 3.2
338-067943 196.8523121 -22.4687081 10.513 11.082 -9.5 -6.3
336-067773 196.8133968 -22.8837995 11.84 12.203 -13.1 3.9
338-067757 195.7211 -22.55341 11.968 12.226 -4.0 -4.3
338-067890 196.5509674 -22.4878542 12.484 12.746 -11.5 -9.7
334-067292 197.5332456 -23.2226375 12.553 12.715 -7.8 -8.4
337-066454 197.2110612 -22.6299603 12.663 12.982 -1.1 0.6
338-067942 196.837905 -22.48384 11.202 11.342 9.2 -11.2
331-068980 197.0500274 -23.8405345 12.536 12.863 -9.1 -11.0
332-066442 196.3083795 -23.7660139 12.831 12.954 -3.7 -6.4
337-066499 197.5319365 -22.7943448 12.097 12.456 -3.6 5.5
336-067621 195.784838 -22.8142539 12.214 12.666 -3.7 -0.7
337-066498 197.5054233 -22.6042717 12.476 12.582 10.4 1.8
335-069419 197.302703 -23.0323267 11.986 12.289 1.0 -12.7
335-069474 197.6494359 -23.1708459 12.544 12.833 -4.6 4.0
335-069203 196.042565 -23.1016823 10.814 11.224 -8.1 1.7
