UCAC4 RA DEC MAG_R Vmag pmRA pmDE
335-069178 195.9206695 -23.0052248 12.557 12.784 2.1 -11.6
336-067647 196.0530492 -22.8477959 12.57 12.919 -5.2 -2.9
338-068015 197.2880162 -22.5910839 12.625 12.876 -7.4 -2.8
335-069419 197.302703 -23.0323267 11.986 12.289 1.0 -12.7
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
336-067713 196.4567512 -22.8862087 12.228 12.559 -6.6 1.7
338-067890 196.5509674 -22.4878542 12.484 12.746 -11.5 -9.7
337-066257 195.9223012 -22.738347 12.549 12.79 -0.4 -6.1
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
338-067942 196.837905 -22.48384 11.202 11.342 9.2 -11.2
340-066623 196.0175586 -22.1975675 12.742 12.886 -3.9 7.5
338-068013 197.2759145 -22.5681073 11.78 11.928 -9.3 -3.1
338-067943 196.8523121 -22.4687081 10.513 11.082 -9.5 -6.3
336-067621 195.784838 -22.8142539 12.214 12.666 -3.7 -0.7
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
336-067657 196.1143342 -22.8971048 12.027 12.418 5.7 -1.7
336-067830 197.1384233 -22.8145923 12.12 12.237 -1.6 1.9
338-067852 196.3533124 -22.4500395 10.588 11.044 -11.3 -8.4
336-067773 196.8133968 -22.8837995 11.84 12.203 -13.1 3.9
335-069270 196.451378 -23.1671631 12.617 12.818 -12.6 -8.4
338-067768 195.7740124 -22.4678506 11.976 12.108 -8.2 -8.9
339-064177 195.9440342 -22.283007 12.569 12.843 7.8 2.7
334-067101 196.4265874 -23.3161953 12.344 12.493 1.5 -3.1
339-064400 197.3441171 -22.3944892 12.62 12.778 3.5 -9.9
336-067594 195.6303795 -22.9133653 12.415 12.759 7.2 -1.4
335-069423 197.3166209 -23.1285139 11.31 11.448 -7.5 -2.8
333-069746 197.4740486 -23.448587 12.256 12.782 -1.6 -2.7
334-067092 196.2910003 -23.2770184 12.159 12.292 3.4 -7.5
338-067757 195.7211 -22.55341 11.968 12.226 -4.0 -4.3
337-066378 196.7784103 -22.7969406 12.826 12.99 -1.2 -5.0
