UCAC4 RA DEC MAG_R Vmag pmRA pmDE
330-068330 196.70366 -24.0691587 11.99 12.173 -11.2 -7.7
330-068503 197.7780183 -24.1569481 12.53 12.672 1.5 4.5
329-066161 196.126635 -24.3067181 11.52 11.875 -13.1 -1.1
330-068263 196.25828 -24.1154764 11.934 12.202 12.0 0.6
330-068515 197.8289753 -24.1654609 11.418 11.579 -2.4 -7.7
327-066029 197.5885662 -24.6382434 11.991 12.071 -5.0 -3.3
332-066518 196.8319389 -23.7294037 12.518 12.819 8.5 -6.5
331-069077 197.54841 -23.904192 11.6 12.023 -1.4 3.5
327-065838 196.3317977 -24.7565256 12.447 12.56 -5.2 2.1
329-066378 197.4721756 -24.2356098 12.186 12.323 -15.0 10.7
331-069128 197.7973539 -23.8425587 12.253 12.65 -9.6 -14.8
334-067061 196.1504565 -23.3908295 11.747 12.137 -5.8 3.3
332-066649 197.6748686 -23.7772523 11.672 11.801 9.9 -6.0
331-069112 197.7110786 -23.9458262 11.453 11.896 -12.5 5.4
328-069137 196.1996489 -24.4614903 12.708 12.868 6.3 -4.1
331-068932 196.6706589 -23.9730595 11.563 12.005 -10.8 5.7
327-065882 196.6384071 -24.7851895 12.129 12.49 -5.8 -1.2
327-065976 197.3259506 -24.6659584 10.988 11.269 -12.0 5.2
328-069186 196.5772018 -24.4594581 12.169 12.503 1.1 0.1
327-065931 197.0091248 -24.6316325 12.642 12.814 -7.0 12.2
334-067211 197.1010186 -23.3720656 11.717 12.146 0.3 -10.0
332-066659 197.7035171 -23.6020764 11.967 12.574 -7.7 -3.1
334-067213 197.113225 -23.3586973 10.867 11.198 -10.8 -14.5
330-068297 196.5501956 -24.0689923 11.476 11.886 -10.7 -6.0
330-068218 195.9980371 -24.0142114 12.32 12.558 -12.3 3.2
327-065848 196.3712083 -24.69386 11.924 12.395 -11.4 -1.5
332-066600 197.3389895 -23.70516 11.281 11.743 -3.8 -9.9
333-069669 197.0593324 -23.5813139 11.283 11.81 -3.7 5.6
328-069152 196.2787562 -24.4641078 12.233 12.6 -7.9 1.2
332-066609 197.4077748 -23.6951639 12.494 12.775 -3.0 -14.1
